"rank","judul","tahun","episode","network","umur","sinopsis","genre","tags","rating","funfact"
"66","Just Between Lovers","2017","16","jTBC, Disney+ Hotstar, WeTV, Netflix, Viki","15+","Sebuah kecelakaan besar merenggut nyawa 48 orang. Kehidupan para penyintas, mereka yang kehilangan orang yang dicintai dan mereka yang terkait dengan pihak-pihak yang dipersalahkan atas peristiwa tragis itu juga ditandai selamanya.","Psychological,  Romance,  Melodrama ","Trauma, Healing, Survivor Guilt, Hardworking Female Lead, Strong Female Lead, Tearjerker, Low Self-esteem Protagonist, Hardworking Male Lead, Phobia, Disaster","8.6","Drama ini dibintangi oleh Lee Joon-Ho dan Yoo Se-Ah."
"67","Empress Ki","2013","51","MBC, Viki, Netflix, Apple TV, Prime Video","15+","Genghis Khan membangun sebuah kerajaan yang membentang luas di Asia Timur dan Eropa Timur. Dan ada seorang wanita yang memegang kekuasaan besar di Dinasti Yuan, yang didirikan Genghis Khan, selama 37 tahun. Dia bukan keturunan Mongol atau keturunan Han Cina. Dia berasal dari Goryeo, sebuah kerajaan kecil di Timur Jauh.Dia dibawa ke Mongol di luar kehendaknya sebagai Gungnyeo (istana wanita) tapi entah bagaimana mengatasi statusnya yang rendah untuk menjadi permaisuri di negeri lain. Namanya Permaisuri Ki.","Historical,  Comedy,  Romance,  Drama,  Melodrama,","Smart Female Lead, Goryeo Dynasty, Power Struggle, Strong Female Lead, Possessive Male Lead, Love Triangle, Empress, Female Warrior, Yuan Dynasty, Revenge","8.6","Drama ini mendapatkan rating tertinggi dengan memperoleh audience share sebesar 32% di Korea Selatan pada Maret 2014."
"68","Partners for Justice","2019","32","Viki, Netflix","15+","Dalam kejahatan dan kehidupan, semua kontak meninggalkan jejak. Tidak ada kejahatan yang sempurna dan pahlawan dan pahlawan wanita kita memiliki kerja sama terbaik. Drama ini melanjutkan kisah seorang ilmuwan forensik dan jaksa yang membuat tim terbaik.","Mystery,  Law,  Drama,  Medical,  Investigation ","Forensic Science, Prosecutor, Doctor, Uncover A Truth, Rich Female Lead, Multiple Mains, Death, Murder","8.6","Drama ini diperankan oleh Jung Jae Young yang telah mendapatkan banyak penghargaan seperti Busan Film Critics Awards, Director's Cut Awards dan masih banyak yang lainnya."
"69","Cruel City","2013","20","jTBC, Viki","15+","Heartless City menggambarkan kehidupan kejam kartel narkoba dan kisah balas dendam untuk orang yang dicintai.","Action,  Thriller,  Romance,  Crime ","Badass Male Lead, Gang, Bromance, Strong Female Lead, Gangster, Strong Male Lead, Smart Male Lead, Sismance, Steamy Kiss, Drug Dealer","8.6","Drama ini tidak disarankan untuk anak dibawah umur karena mengandung kekerasan dan beberapa adegan berdarah."
"70","365","2020","24","MBC, Viki","15+","Sebuah kisah di mana sepuluh orang mendapatkan kesempatan untuk kembali ke masa dalam satu tahun, tetapi situasi misterius yang tak terduga mulai muncul ketika nasib mereka diubah dan dipelintir dalam prosesnya.","Thriller,  Mystery,  Drama,  Fantasy ","Strong Female Lead, Time Travel, Nice Male Lead, Suspense, Murder, Detective, Fate, Supernatural, Destiny, Accident","8.6","Menjadi KDrama MBC pertama yang tayang pada slot Senin - Selasa di tahun 2020."
"71","Avengers Social Club","2017","12","tvN","15+","Menampilkan tiga wanita dari berbagai lapisan masyarakat yang datang bersama untuk membalas dendam: pemilik toko ikan setengah baya yang membayangkan kehidupan yang lebih baik untuk dirinya sendiri, seorang ibu rumah tangga, dan pewaris yang dibesarkan seperti bunga rumah kaca yang lembut. Mereka adalah trio yang tidak mungkin yang tidak akan pernah bertemu, tetapi mereka bergabung untuk melakukan balas dendam masing-masing. Meskipun mereka memulai sebagai rekan konspirator, di sepanjang jalan mereka akan membangun persahabatan yang kuat.","Friendship,  Comedy,  Life,  Drama,  Family ","Revenge, Sismance, Female Centered Plot, Strong Female Lead, Strong Female Characters, Healing, Smart Male Lead, Mother-Son Relationship, Mother-Daughter Relationship, Tragic Past","8.6","Drama ini dibintangi oleh Lee Yo Won, Ra Mi Ran, dan Myung Se Bin"
"72","The Master's Sun","2013","17","SBS","15+","Joo Joong Won adalah CEO Kingdom yang pelit dan rakus, konglomerat yang mencakup department store dan hotel besar. Dia bertemu dengan Tae Gong Shil yang murung, yang mulai melihat hantu setelah kecelakaan. Hidup mereka mengambil giliran baru saat mereka bekerja sama untuk menghadapi teror dan kesedihan yang dibawa oleh roh, saat menyelidiki insiden penculikan di masa lalu Joong Won. Dan tanpa sadar, mereka saling jatuh cinta.","Horror,  Psychological,  Comedy,  Romance,  Drama,","Ghost, Eccentric Female Lead, Arrogant Male Lead, Rich Male Lead, Clingy Female Lead, Successful Male Lead, Obsession, Tragic Past, Trauma, Rich Man/Poor Woman","8.6","Joo Joong Won adalah CEO Kingdom yang pelit dan serakah, konglomerat yang mencakup department store dan hotel besar. Dia bertemu dengan Tae Gong Shil yang muram, yang mulai melihat hantu setelah kecelakaan. Hidup mereka mengambil giliran baru saat mereka bekerja sama untuk menghadapi teror dan kesedihan yang dibawa oleh roh, sambil menyelidiki insiden penculikan di masa lalu Joong Won. Dan tanpa disadari, mereka saling jatuh cinta."
"73","Bad Guys","2014","11","OCN","18+","Untuk memerangi kejahatan kekerasan yang meningkat, Kepala Polisi meminta Detektif Oh Goo Tak untuk membentuk tim yang terdiri dari penjahat.","Action,  Thriller,  Psychological,  Crime,  Invest","Psychopath, Murder, Teamwork, Serial Killer, Strong Male Lead, Gangster, Plot Twist, Smart Male Lead, Skilled Killer, Violence","8.6","Untuk memerangi kejahatan kekerasan yang meningkat, Kepala Polisi meminta Detektif Oh Goo Tak untuk membentuk tim yang terdiri dari penjahat. Detektif Oh Goo Tak saat ini diskors dari kepolisian karena menggunakan kekuatan yang berlebihan. Detektif Oh Goo Tak mengumpulkan anggota tim: Park Woong Cheol yang merupakan seorang gangster, Lee Jung Moon yang merupakan pembunuh berantai termuda dengan kecerdasan luar biasa dan Jung Tae Soo yang merupakan pembunuh bayaran. Juga, Inspektur Polisi Yoo Mi "
"74","Designated Survivor","2019","16","tvN,  Netflix","15+","Park Moo Jin adalah mantan profesor kimia dan sekarang menjabat sebagai Menteri Lingkungan Hidup. Dia tidak memiliki ambisi, keyakinan pribadi atau rasa politik. Suatu hari, kabinet berkumpul di Majelis Nasional untuk pidato presiden. Sebuah serangan teror terjadi, menewaskan banyak pejabat pemerintah, termasuk presiden dan menteri. Park Moo Jin adalah pejabat pemerintah peringkat tertinggi yang masih hidup. Dia tidak menginginkan posisi itu, tetapi dia harus duduk sebagai penjabat presiden selama 60 hari. Park Moo Jin mengejar orang atau kelompok yang bertanggung jawab atas serangan itu saat ia tumbuh sebagai pemimpin nasional.","Suspense,  Drama,  Political ","Power Struggle, Conspiracy, Blue House, Lying, Social Commentary, Terrorism, Deception, National Intelligence Service, National Assembly, Death","8.6","Drama ini merupakan drama remake dari series Amerika yang pernah booming di Netflix pada 2019 lalu berjudul DESIGNATED SURVIVOR. Walaupun sama-sama memiliki jalan cerita yang sama, yaitu dengan Gedung Majelis Nasional yang dibom oleh teroris, namun dikemas dengan cara berbeda mengikuti budaya dan politik di Korea Selatan."
"75","I Hear Your Voice","2013","18","SBS","15+","Jang Hye Sung, seorang pembela umum yang berani, lancang, berwajah tebal, lucu, dan materialistis yang menjadi pengacara setelah mengatasi kemiskinan dan kenangan menyakitkan dari masa kecilnya, menyadari tentang masyarakat dan keadilan setelah bertemu Park Soo Ha, 19- anak laki-laki berusia tahun yang membaca pikiran orang lain dan Cha Kwan Woo,seorang pengacara yang tidak bersalah yang menjalani kehidupan yang disiplin. Jang Hye Sung sebenarnya adalah cinta pertama Soo Ha setelah dia memberikan kesaksian yang meyakinkan tentang kasus pembunuhan ayahnya 10 tahun yang lalu dan Soo Ha berjanji untuk melindunginya dari ancaman si pembunuh. Sementara itu, Cha Kwan Woo adalah rekan pengacara Jang Hye Sung, mantan polisi yang ceria dan idealis meskipun karakternya agak lambat, dia baik dan menyenangkan dengan gagasan yang kuat tentang prinsip dan keadilannya. Bersama-sama mereka akan bekerja ","Thriller,  Mystery,  Law,  Romance,  Drama,  Super","Lawyer, Special Power, Revenge, Smart Female Lead, Trauma, Strong Female Lead, Older Woman/Younger Man, Male Chases Female First, Age Gap, Mind Reading","8.6","Serial drama Korea I Can Hear Your Voice ini disutradarai Jo Soon Won yang juga pernah menggarap serial Pinocchio, Thirty But Seventeen, Doctor John, Awaken dan banyak lagi."
"76","Save Me","2017","16","OCN","15+","Menyusul kegagalan bisnis ayahnya, Sang Mi dan keluarganya pindah ke Muji-gun dimana mereka tidak memiliki teman atau kerabat. Di sana dia bertemu dengan empat pria muda, Han Sang Hwan, Seok Dong Cheol, Woo Jung Hoon, dan Choi Man Hee. Saat Sang Mi dan keluarganya menghadapi masalah, Pastor Baek Jung Ki dari Goosunwon menawarkan untuk membantu mereka. Namun, keluarganya perlahan-lahan tersedot ke dalam kultus agama semu dan keempat pemuda itu berusaha menyelamatkannya.","Action,  Suspense,  Friendship,  Thriller,  Myster","Cult, Dark Plot, Manipulative Character, Adapted From A Webtoon, Church, Strong Female Lead, Bromance, Smart Female Lead, Deception, Strong Male Lead","8.6","Drama ini diangkat dari sebuah manhwa/webtoon berjudul Out of the World karya Jo Geum-san yang dipublikasikan via comic.daum.com."
"77","Reply 1997","2012","16","tvN","15+","Berlatar tahun 1990-an, drama ini berpusat di sekitar seorang siswa SMA perempuan Shi Won, yang mengidolakan boyband H.O.T dan 5 teman SMA-nya di Busan. Saat garis waktu bergerak bolak-balik antara masa lalu mereka sebagai siswa sekolah menengah berusia 18 tahun pada tahun 1997 dan masa kini mereka sebagai anak berusia 33 tahun pada makan malam reuni sekolah menengah mereka pada tahun 2012, di mana satu pasangan akan mengumumkan bahwa mereka akan menikah.","Friendship,  Comedy,  Romance,  Life,  School,  Yo","Childhood Friends, High School, Strong Friendship, 1990s, First Love, Friends To Lovers, Love Square, Unrequited Love, Best Friends, Love Triangle","8.6","Jauh sebelum mendapatkan popularitas sebagai salah satu serial dengan rating tinggi, cerita Reply 1988 lebih dulu dimulai dari drakor Reply 1997."
"78","Rebel","2017","30","MBC","15+","“Pelaku yang menyamar sebagai pejabat kerajaan tidak mencuri kekayaan. Dia mencuri hati dan pikiran orang-orang Anda, Yang Mulia.” Ada tokoh pemecah belah di Dinasti Joseon yang merupakan pahlawan bagi rakyat tetapi musuh bagi kemapanan. Namanya Hong Gil Dong. Raja Yeonsangun memiliki garis keturunan kerajaan tetapi dicaci maki oleh rakyatnya sementara Hong Gil Dong lahir sebagai budak tetapi berhasil memenangkan hati rakyat jelata. Perjuangan antara dua orang ini menunjukkan kualitas yang dibutuhkan seorang pemimpin sejati. Serial TV ini menggambarkan kehidupan Hong Gil Dong yang selamat dari kerajaan yang kejam dan bermusuhan saat ia berperang melawan elit yang kuat.","Action,  Thriller,  Historical,  Romance ","Rebellion, Joseon Dynasty, Strong Male Lead, Smart Male Lead, Corruption, Happy Ending, Slave, Discrimination, Bromance, Superhuman Strength","8.6","Di sutradari oleh Kim Ji Man yang merupakan sutradara senior di Korea Selatan yang telah memproduksi banyak drama hits lainnya, salah satunya adalah East Love Eden."
"79","Nobody Knows","2020","16","SBS","15+","Detektif Young Jin, dari unit investigasi regional, hanya memiliki satu hal di pikirannya: untuk menangkap pembunuh berantai 'Stigmata' yang membunuh temannya 19 tahun yang lalu. Dia membawa rasa bersalah dan trauma atas peristiwa tersebut. Dia tidak punya teman dan hidup sendiri. Putra tetangganya di lantai bawah, Eun Ho, telah membangun hubungan dengannya sejak dia pindah di atas apartemen mereka. Dia melakukan pekerjaan rumah kasar untuknya. Suatu hari Eun Ho, sepertinya jatuh dari atap gedung apartemen mereka dan mengalami koma. Young Jin merasakan permainan kotor dan memutuskan untuk menyelesaikannya sendiri. Dengan bantuan wali kelas Eun Ho, Sun Woo, keduanya mulai mengungkap bahwa luka Eun Ho bukanlah kecelakaan.","Suspense,  Mystery,  Crime,  Drama,  Melodrama ","Strong Female Lead, Smart Female Lead, Police, Unusual Friendship, Murder, Death, Strong Friendship, Guilt, Calm Female Lead, Teacher","8.6","Nobody Knows dari SBS telah mencapai peringkat pemirsa sebanyak dua digit! Menurut Nielsen Korea, siaran drama pada 14 April mencatat rata-rata nasional sebesar 8,6 dan 10,5 persen. Setelah mempertahankan deretan peringkat di kisaran 9 persen, drama Korea thriller tersebut telah mencapai peringkat terbaik baru di atas 10 persen."
"80","Missing","2020","12","OCN","15+","Sebuah desa menyimpan arwah orang-orang yang telah meninggal dan hilang. Pencarian untuk menemukan mayat yang hilang dan menemukan kebenaran di balik hilangnya mereka terjadi.","Suspense,  Thriller,  Mystery,  Crime,  Fantasy ","Con Artist, Ghost-seeing Male Lead, Spirit, Missing Person, Detective, Hacker, Bromance, Social Justice, Righteous Male Lead, Death","8.5","Meskipun para produser memperingatkan bahwa mereka hanya dalam tahap perencanaan untuk musim kedua yang potensial, kepala produser (CP) dari “Missing: The Other Side” sebelumnya mengungkapkan tahun lalu bahwa mereka sudah dalam pembicaraan untuk kembali untuk musim selanjutnya ketika Season 1 selesai pada Oktober 2020."
"81","Kairos","2020","16","MBC","15+","Menjalani kehidupan yang genting sebagai pekerja paruh waktu di toko serba ada, Ae Ri berusaha untuk mendukung ibunya yang ada dalam daftar tunggu untuk transplantasi jantung. Sayangnya, kondisi fisik ibunya yang memburuk membuatnya melupakan kesempatan yang telah lama ditunggu-tunggu untuk transplantasi, dan begitu saja ibunya menghilang. Keadaan sudah cukup kacau bagi Ae Ri ketika dia menerima panggilan telepon dari seorang pria aneh yang mengaku dari dunia yang sama tetapi 31 hari di masa depan. Ironisnya, dia dengan putus asa meminta bantuan Ae Ri. Seo Jin, seorang ayah dan suami dari keluarga dekat, telah menjalani kehidupan yang sukses sebagai orang termuda yang menjadi direktur di sebuah perusahaan konstruksi. Suatu hari, semuanya runtuh dengan penculikan putrinya dan bunuh diri istrinya. Di ambang kehancuran, dia diberi kesempatan untuk mengembalikan semua yang hilang dengan satu","Thriller,  Drama,  Sci-Fi,  Fantasy ","Time Altering, Past And Present, Hardworking Male Lead, Smart Male Lead, Family Secret, Rich Male Lead, Betrayal, Gaslighting, Different Timelines, Successful Male Lead","8.5","Drama ini dibintangi Shin Sung Rok yang pernah mengambil peran dalam drama My Love From the Star dan An Empress’s Dignity, serta Lee Se Young yang juga sudah banyak membintangi drama, seperti The Crowned Clown, Doctor John dan lain-lain. Sementara itu, Nam Gyu Ri dikenal sejak dirinya membintangi 49 Days, kemudian drama terakhirnya adalah Different Dreams. Ahn Bo Hyun yang menjadi antagonis dalam drama Itaewon Class dan juga menjadi peran utama dalam Her Private Live juga turut hadir dalam drama"
"82","Once Again","2020","100","KBS2","15+","""Once Again"" adalah kisah keluarga Song yang penuh peristiwa yang tidak bisa mendapatkan hari yang damai dan tetangga mereka di Pasar Yongju.","Business,  Comedy,  Romance,  Life,  Drama,  Famil","Divorce, Family Relationship, Multiple Couples, Doctor, Multiple Mains, Huge Family, Marriage, Slice Of Life, Married Couple, Divorced Couple","8.5","Menurut Nielsen Korea, episode terakhir Once Again”mencetak peringkat nasional rata-rata 33,6 persen dan 34,8 persen untuk dua bagiannya, menandai peningkatan jumlah pemirsa dari siaran terakhir malam sebelumnya."
"83","The World of the Mar","2020","16","jTBC","18+","Segalanya tampak sempurna dalam kehidupan dokter keluarga dan direktur asosiasi yang sukses, Ji Sun Woo. Dia hidup bahagia di Gosan bersama suaminya yang tampan, Lee Tae Oh, dan putra remaja mereka, Joon Young. Namun, gambaran sempurna dari kehidupan keluarga yang bahagia dan penuh kasih hancur ketika dia menemukan bahwa suaminya, yang dia bantu secara finansial mendirikan perusahaan hiburan, berselingkuh, dan bahkan teman bersama mereka membantunya menyembunyikannya. Hancur oleh pengkhianatan, dia menetapkan jalan untuk membalas dendam dan mengingat kembali dirinya yang hancur.","Romance,  Drama,  Family,  Melodrama ","Infidelity, Extramarital Affair, Betrayal, Makjang, Revenge, Dark Plot, Strong Female Lead, Mistress, Lying, Remake","8.5","Menurut Nielsen Korea, The World of the Married episode 16 berhasil mencetak peringkat nasional rata-rata 28,37 persen yang dengan mudah mengalahkan rekornya sendiri 24,44 persen untuk The World of The Married episode 15."
"84","Extracurricular","2020","10","Netflix","18+","""Ekstrakurikuler"" berpusat di sekitar empat siswa sekolah menengah yang mulai melakukan kejahatan untuk mendapatkan uang dan bahaya tak terduga yang mereka hadapi sebagai akibatnya.","Psychological,  Crime,  Life,  School,  Youth,  Dr","Prostitution, Morally Ambiguous Lead, Illegal Business, Dark Plot, High School, Student, Teenager, Greed, Security Service Provider, Double Life","8.5","Serial Extracurricular dibintangi oleh Kim Dong Hee, yang juga pemeran dalam serial drama Korea ternama Netflix, yakni Itaewon Class."
"85","Because This Is My F","2017","16","tvN","15+","Seorang pria miskin rumah dan wanita tunawisma menjadi teman serumah dalam sebuah drama yang meneliti institusi pernikahan dan masalah yang dihadapi kaum muda saat ini.","Friendship,  Comedy,  Romance,  Life,  Drama ","Contract Relationship, Marriage Of Convenience, Housemates, Eccentric Male Lead, Multiple Couples, Socially Awkward Protagonist, Cohabitation, Sismance, Nerdy Male Lead, Writer","8.5","Drama romantis besutan sutradara Park Joon Hwa yang sebelumnya pernah menggarap drama Bring it On, Ghost ini merupakan salah satu drama Korea yang saat ini memiliki rating cukup tinggi dan turut bersaing"
"86","Circle","2017","12","tvN","15+","Berlangsung di tahun sekarang 2017 dan tahun 2037, ketika orang percaya bahwa masa depan mereka bergantung pada manusia yang mengendalikan dan mengatur emosi mereka, drama ini adalah misteri fiksi ilmiah. Ketika pengunjung asing tiba di Bumi, manusia mempelajari keterampilan baru dari mereka dan memanfaatkannya; yang terjadi kemudian adalah kisah aliansi, perlawanan, dan cinta.","Thriller,  Mystery,  Sci-Fi ","Future, Alien, Bromance, Strong Female Lead, Police, Smart Female Lead, Calm Female Lead, Smart Male Lead, Kidnapping, Character Development","8.5","Drama misteri sci-fi pertama kali yang ditayangkan di tv kabel ini menampilkan setting Korea di masa kini (2017) dan masa depan (2037). Namun drama ini berbeda dengan cerita mengenai perjalanan waktu pada umumnya, karena disini menampilkan dua timeline secara bersamaan. Jadi akan ada dua bagian cerita yang terpisah di dalamnya."
"87","What's Wrong with Se","2018","16","tvN","15+","Serial ini berkisah tentang Lee Young Joon yang narsis, wakil presiden dari sebuah perusahaan yang dijalankan oleh keluarganya. Dia sangat mementingkan diri sendiri dan sangat memikirkan dirinya sendiri, sehingga dia hampir tidak mengakui orang-orang di sekitarnya.
Lee Young Joon memiliki sekretaris yang cakap dan sabar Kim Mi So yang tetap di sisinya dan bekerja dengan rajin selama 9 tahun tanpa keterlibatan romantis. Namun, Mi So sekarang ingin mengatur hidupnya & fokus pada dirinya sendiri sehingga ketika dia memutuskan untuk mengundurkan diri dari pekerjaannya, kesalahpahaman yang lucu pun terjadi. Setelah 9 tahun ketat-hubungan kerja, dapatkah sekarang berkembang menjadi sesuatu yang lebih?","Friendship,  Business,  Comedy,  Romance ","Adapted From A Webtoon, Steamy Kiss, Male Chases Female First, Boss/Employee Relationship, Office Romance, Rich Male Lead, Arrogant Male Lead, Calm Female Lead, Trauma, Smart Female Lead","8.5","Drama ini disutradarai oleh Park Joon Hwa yang juga menyutradarai drama Bring It On, Ghost dan Because This Is My First Life serta ditulis naskahnya oleh Jung Eun Young. Kisah dari drama ini diadaptasi dari webtoon karya Jung Kyung Yoon."
"88","When the Camellia Bl","2019","40","KBS2,  Netflix","15+","Dong Baek adalah seorang ibu tunggal yang tinggal di kota kecil Ongsan. Dia menjalankan bar-restoran Camellia, sementara juga merawat putranya Pil Gu. Orang-orang Ongsan sering bergosip tentang Dong Baek. Dia tumbuh sebagai seorang yatim piatu, adalah seorang ibu tunggal dan menjalankan sebuah bar di mana banyak pria di Ongsan sering berkunjung. Terlepas dari apa yang mungkin dibisikkan penduduk setempat tentang Dong Baek, petugas polisi setempat Hwang Yong Shik sangat mencintainya. Sementara itu, mantan pacar Dong Baek, Kang Jong Ryeol, tiba-tiba muncul kembali dalam hidupnya. Dia adalah pemain bisbol terkenal, yang menyembunyikan hubungan mereka ketika mereka berkencan. Sementara Dong Baek mencoba menemukan kebahagiaan, sesuatu yang benar-benar menyeramkan mengintai di latar belakang. Seorang pembunuh berantai berkeliaran di Ongsan dan Dong Baek mungkin menjadi target.","Thriller,  Comedy,  Romance,  Drama,  Family ","Single Mother, Mystery, Police Officer, Motherhood, Serial Killer, Mother-Son Relationship, Hardworking Female Lead, Dorky Male Lead, Male Chases Female First, Nice Male Lead","8.5","Berdasarkan Nielsen Korea, drama ini juga menjadi drama berperingkat tertinggi kedua tahun 2019 dengan peringkat rata-rata semua episode 14,83% setelah drama SBS berjudul The Fiery Priest.["
"89","Itaewon Class","2020","16","jTBC,  Netflix","15+","Kehidupan Park Saeroyi telah terbalik setelah dia dikeluarkan dari sekolah karena meninju seorang pengganggu dan ayahnya terbunuh dalam sebuah kecelakaan. Mengikuti langkah ayahnya, ia membuka sebuah pub bernama ""DanBam"" di Itaewon dan, bersama dengan manajer dan stafnya, berusaha keras menuju kesuksesan dan mencapai tingkat yang lebih tinggi.","Food,  Friendship,  Business,  Romance,  Life,  Dr","Revenge, Smart Female Lead, Female Chases Male First, Strong Male Lead, Smart Male Lead, Badass Female Lead, Tragic Past, Unrequited Love, Self-centered Character, Strong Female Lead","8.5","Dalam drama “Itaewon Class”, ada beberapa karakter yang penggambarannya tidak konvensional. Karakter mereka tidak hanya mendorong norma dalam penampilan khas K-drama, tetapi juga membawa aspek penerimaan dan harapan seperti gaya “Itaewon” itu sendiri."
"90","Fight For My Way","2017","16","KBS2","15+","Bisakah Anda tetap mengejar impian Anda tanpa latar belakang yang tepat?","Friendship,  Business,  Comedy,  Romance,  Drama, ","Childhood Friends, Friends To Lovers, Strong Male Lead, Strong Female Lead, Neighbors, Strong Friendship, Personal Growth, Character Development, Secondary Couple, Ex-girlfriend Comes Back","8.5","Selain dibintangi Park Seo Joon dan Kim Ji Won, Fight for My Way juga didukung oleh Pyo Ye Jin yang juga membintangi While You Were Sleeping dan VIP. Berkat aktingnya di drakor ini, Pyo Ye Jin berhasil nominasi aktris pendatang baru terbaik dalam KBS Drama Awards 2017."
"91","Arthdal Chronicles P","2019","6","tvN,  Netflix","15+","Terletak di tanah fiksi Arthdal ​​selama zaman kuno (zaman perunggu). Eun Seom dilahirkan dengan takdir untuk membawa bencana ke Arthdal, yang menuntunnya dan ibunya, yang ingin menyelamatkannya, untuk menanggung kesulitan. Akhirnya, mereka memutuskan untuk pergi dan bepergian bersama ke tempat yang lebih baik. Meskipun Eun Seom tumbuh di tanah baru, dia dipandang sebagai orang buangan karena dia berbeda dari penduduk asli negeri itu. Ta Gon adalah pahlawan perang Arthdal. Dia telah membuka jalan bagi Arthdal ​​untuk menjadi kota dan bangsa yang makmur dan dia adalah prajurit terkuat di Arthdal. Dia bermimpi menjadi raja pertama Arthdal.","Historical,  Romance,  Drama,  Fantasy,  Political","Power Struggle, Multiple Mains, Curse, Clan, Hidden Identity, War, Identical Twins, Strong Female Lead, Orphan Male Lead, Slavery","8.5","Rating serial yang ditayangkan oleh tvN dan Netflix ini, juga terbilang tinggi. Dilansir dari Soompi, menurut lembaga AC Nielsen, episode perdananya mencatat rating 6,7 persen, dan mencapai puncaknya di titik 8 persen."
"92","W","2016","16","MBC","15+","Oh Sung Moo, ayah dari ahli bedah kardiotoraks Oh Yeon Joo, secara misterius menghilang saat menulis bab terakhir dari webtoonnya ""W"". Yeon Joo pergi ke kantornya mencari, tapi tangan dari monitor tiba-tiba menarik dia masuk, dan dia menemukan dirinya di atap gedung, di sebelah seorang pria berlumuran darah. Dia berhasil menyelamatkan orang itu, hanya untuk menyadari bahwa dia adalah Kang Cheol, karakter utama webtoon ayahnya. Yeon Joo kemudian mengetahui bahwa dia hanya bisa masuk dan keluar dari webtoon tergantung pada perasaan Kang Cheol.","Action,  Thriller,  Comedy,  Romance,  Fantasy,  M","Parallel Dimension, Crossworlds Traveler, Webtoon Artist, Steamy Kiss, Murder, Rich Male Lead, Serial Killer, Revenge, Star Crossed Lovers, Tragic Past","8.5","Melansir dari Korea Herald, Drama W: Two Worlds memenangkan kategori Special Jury Awards dalam ajang tahunan WorldFest-Houston International Film Festival yang digelar di Texas, Amerika Serikat."
"93","Beautiful World","2019","16","jTBC,  Viki ","15+","Drama ini adalah tentang seorang anak laki-laki di tepi hidup dan mati, dan pencarian keluarganya untuk menemukan kebenaran. Di tengah kebohongan dan rahasia, ketidakpercayaan dan rasa sakit, keluarga mencari harapan di dunia yang gila ini. Mu Jin, adalah seorang guru dan seorang ayah. Istrinya, In Ha, menjalankan 'Ho Ho Bakery' dan mereka memiliki putra kelas 9 dan putri kelas 8.
Demi pendidikan anak-anak mereka, mereka pindah ke lingkungan yang berbeda. Suatu hari, di sekolah kompetitif baru mereka, Sun Ho mengalami kecelakaan, menyebabkan dia mati otak. Ayah dan ibu, dipenuhi dengan rasa bersalah dan kemarahan yang besar karena kecelakaan itu, menyelidiki untuk mencari tahu apa yang terjadi yang menyebabkan kecelakaan itu. Su Ho, Adik perempuan Sun Ho, juga berangkat sendiri untuk mencari tahu kebenaran di balik kecelakaan kakaknya.","Life,  School,  Family,  Melodrama ","School Bullying, Family Relationship, Coma, Tearjerker, Sibling, Student, Psychopath, High School, Married Couple, Teacher","8.5","Walaupun awalnya merasa ragu, tapi akhirnya sutradara Park Chan Hong bersama penulis skenario Kim Ji Woo memutuskan untuk mewujudkan project ini bersama. Perlu 5 tahun bagi Kim Ji Woo untuk meyakinkan Park Chan Hong untuk memproduksinya. Ji-Woo berkata, jika bukan mereka, siapa lagi yang akan mewujudkannya."
"94","Search","2019","16","tvN","15+","Drama ini berkisah tentang konflik, menang, dan kalah yang dialami seseorang saat bekerja. Ini akan mengikuti kisah wanita abad ke-21, yang memilih untuk tidak menjadi istri atau ibu dan berhasil bekerja tanpa diskriminasi atau hambatan.","Business,  Comedy,  Romance,  Drama,  Family,  Pol","Strong Female Characters, Successful Female Lead, Smart Female Lead, Strong Female Lead, Independent Female Lead, Female Centered Plot, Sismance, Social Media, Teamwork, Older Woman/Younger Man","8.5","Drama ini disutradarai oleh Jung Ji Hyun, yang mengerjakan Mr. Sunshine, The King: Eternal Monarch dan You Are My Spring. Sementara naskhanya ditulis oleh Kwon Do Eun, yang telah membangun filmografinya sebagai asisten penulis naskah untuk Kim Eun Sook. Penulis dan sutradara satu ini bersatu kembali menggarap drakor baru Netflix, yakni Twenty-Five Twenty-One."
"95","Doctor John","2019","32","SBS","15+","“Doctor John” adalah drama medis baru tentang dokter yang berspesialisasi dalam manajemen nyeri. Dalam genre yang menyegarkan, ""Doctor John"" akan menggambarkan pencarian para dokter untuk penyebab rasa sakit misterius pasien mereka sebagai pengejaran yang mendebarkan, hampir seperti seorang detektif yang memburu pelaku di balik kejahatan yang belum terpecahkan.","Mystery,  Comedy,  Romance,  Life,  Drama,  Medica","Doctor, Smart Male Lead, Mature Protagonist, Incurable Disease, Eccentric Male Lead, Euthanasia, Hardworking Male Lead, Secret, PTSD, Ex-convict","8.5","Ji Sung, untuk pertama kalinya mendapat peran utama sebagai seorang dokter di Doctor John. Dan untuk kedua kalinya menjadi narapidana."
